@relation 'Sinav Analizi-weka.filters.unsupervised.attribute.NumericToNominal-Rfirst-last'

@attribute 'Okul Donemi' {3,4,5,6,7,8}
@attribute 'Sinav Yili' {2013,2014,2015}
@attribute 'Ogrenci Ulkeleri' {ELL,EP,Asian,Black,Hispanic,White,Notswd,SWD}
@attribute 'Okul Numarasi' {7272,7768,7772,7784,8108,8164,8246,8325,8434,8457,8502,9082,9213,9259,9533,9751,10057,10166,10187,10302,10359,10390,10539,10554,10633,10634,10760,10776,10778,10819,10821,10825,10932,10954,11049,11057,11090,11324,11354,11375,11394,11438,11622,11625,11677,11694,11721,11754,11755,11883,11918,11999,12034,12273,12582,12748,12919,12986,13050,13204,13520,13525,13803,13929,13979,14118,14723,14795,14950,14960,15172,15725,15738,15862,16365,16398,16691,16778,17085,17132,17348,17452,17522,18018,18093,18131,18439,18860,19699,20003,24718,25668,26980,27192,27559,27585,27725,27980,28061,28062,28104,28227,28978,29055,29706,29846,29927,30362,44251,46956,47197,49442,51947,52290,52734,53277,53938,53987,54146,54249,54288,54295,54835,55140,55145,55372,55459,55534,55649,55755,56148,56165,56240,56774,56908,56928,56966,57086,57319,57466,57748,57792,58077,59876}
@attribute 'Ortalama Puan' {265,266,267,268,269,270,271,272,273,274,275,277,278,279,280,282,283,284,285,286,287,288,289,290,291,292,293,296,297,300,301,302,303,304,305,306,307,308,309,310,311,312,315,316,318,319,320,321,322,323,324,325,326,327,329,331,332,333,334,337}
@attribute 'Sinav 1' {1004,1008,1043,1050,1109,1123,1128,1153,1172,1196,1206,1217,1226,1308,1405,1442,1518,1542,1557,1580,1584,1599,1634,1639,1641,1685,1688,1689,1691,1770,1806,1850,1904,2338,2434,4962,5128,5151,5240,5289,5290,5543,5578,5585,5620,5697,5722,5733,5756,5803,6283,6307,6993,7254,7317,7413,7446,7496,7566,7897,7925,7931,7957,8249,8276,8468,8629,8690,8699,8745,8766,8974,8986,8988,9021,9068,9085,9237,9344,9349,9507,9668,10058,10078,10089,10111,10183,10797,10890,11068,11105,11127,11192,11236,11380,11507,11511,11597,11628,11821,11932,12174,12176,12178,12366,12436,12495,12913,13449,13454,13456,13666,13854,14119,14202,14693,14697,14728,14740,15121,15145,15149,15291,15326,15382,15536,15826,16120,16258,16315,16612,16696,16983,17353,17679,17724,19431,19567,19982,20701,21312,23109}
@attribute 'Sinav 1 Yuzdelik Dilim' {8.6,9,9.3,9.5,9.8,9.9,10.1,10.3,10.4,11,11.1,11.3,13,13.2,13.3,13.9,14.1,14.2,14.3,14.4,14.6,14.8,15.2,15.4,15.5,15.6,15.9,16.1,16.8,18.7,20.4,21.9,22,22.5,22.6,23.3,23.4,23.6,23.9,24,24.2,24.9,25.6,25.9,26.9,27,27.4,27.5,27.8,28,28.1,28.2,28.3,29.3,29.6,31.3,31.9,32,33.5,35.1,35.5,35.8,36.5,37.2,37.3,37.5,37.8,38.3,38.5,40,40.2,40.4,40.6,40.7,40.8,41.4,42.3,42.7,43.6,44,44.4,44.5,45.2,45.5,45.8,46.5,46.6,46.9,47.1,48.5,50.2,50.4,50.9,51.4,51.5,52.1,52.3,53.2,53.3,53.9,54,54.7,55.9,56.2,57.1,57.3,57.4,60,60.2,60.3,60.4,60.6,61.9,62.5,62.7,63.2,63.7,64.3,65.2,66.4,67.8,68.8,69.8,70.3,70.4,71.5,72.1,72.5,73.8,75.5,77.5}
@attribute 'Sinav 2' {1451,1675,1866,1985,2017,2157,2174,2188,2235,2262,2334,2349,2351,2354,2385,2412,2414,2450,2468,2479,2497,2538,2567,2590,2650,2660,2712,2737,2774,2809,2816,2819,2836,2871,2884,2916,2932,2972,2973,3023,3040,3047,3056,3077,3096,3103,3152,3159,3175,3198,3220,3223,3241,3270,3344,3346,3360,3523,3560,3589,3633,3637,3714,3750,3787,3797,3891,3972,4028,4202,4220,4418,4868,5174,5184,5439,5446,5615,5635,5717,5731,5805,5808,5854,6432,6445,6517,6524,7347,7463,8400,8507,8915,9007,9279,9454,9519,9822,10098,10186,10342,10417,10579,10830,10969,11181,11285,11743,14601,14694,15577,15752,16006,16898,17122,17215,17292,17367,17419,17447,17458,17512,17524,17596,17680,17959,17962,17978,18343,18413,18434,18584,18928,19016,19235,19329,19371,19391,20093,21018,21350,22154,22327,22903}
@attribute 'Sinav 2 Yuzdelik Dilim' {16.9,17.4,18.1,19.2,19.6,19.9,20.3,20.4,20.8,21,22.1,22.5,22.6,22.7,22.9,23.2,23.3,23.5,23.6,23.7,24,24.1,24.4,24.6,24.8,25.4,25.9,26.1,26.6,27,27.1,27.5,27.6,27.7,27.8,28.1,28.2,28.3,28.4,28.5,28.6,28.7,29,29.1,29.2,29.8,29.9,30.2,30.3,30.5,30.6,30.8,30.9,31,31.1,31.2,31.4,31.5,31.7,31.9,32.1,32.2,32.3,32.8,32.9,33,33.1,33.2,33.5,33.7,33.8,33.9,34,34.3,34.5,34.8,34.9,35.2,35.4,35.5,35.7,35.9,36.2,36.4,36.8,36.9,37.3,37.5,37.8,38,38.1,38.5,38.9,39,39.2,39.3,39.5,39.8,40.2,40.6,41.2,41.7,42}
@attribute 'Sinav 3' {455,476,489,490,514,534,575,590,596,601,626,635,659,681,690,764,820,828,833,927,949,1062,1157,1213,1280,1300,1329,1372,1373,1487,1503,1547,1578,1614,1636,1663,1691,1713,1820,1978,2005,2052,2059,2065,2067,2091,2098,2147,2282,2420,2454,2459,2474,2537,2544,2566,2576,2645,2666,2696,2745,2758,2779,2793,2794,2947,2971,3125,3162,3225,3267,3279,3299,3303,3331,3345,3359,3404,3436,3444,3451,3510,3548,3563,3567,3569,3571,3637,3646,3651,3680,3857,3894,3896,4004,4094,4150,4170,4788,5112,5283,5401,5437,5451,5865,6259,7405,7718,8636,8986,9298,9758,9998,10131,10278,10524,10693,10902,11223,11419,11723,11809,11874,12049,12257,12395,12602,12605,12682,12857,12934,13191,13445,13501,13526,13855,13900,14012,14030,14130,14689,15337}
@attribute 'Sinav 3 Yuzdelik Dilim' {3.7,3.9,4,4.4,4.7,5,5.5,5.6,5.8,5.9,6.9,7,7.1,7.2,7.3,7.4,7.5,7.8,9.2,9.3,9.5,9.8,10,10.3,10.4,10.8,10.9,11,11.3,11.4,11.5,11.8,11.9,12.1,12.2,12.5,12.6,12.7,13.4,14.1,14.2,14.7,14.8,15.2,15.3,15.7,16.1,16.3,16.8,16.9,17,17.4,17.5,17.6,17.7,18,18.2,18.5,18.7,18.8,19.1,19.2,19.3,19.6,20.1,20.3,20.6,21.1,21.3,21.5,21.6,22.1,22.6,22.7,22.8,22.9,23.2,23.5,23.6,23.8,23.9,24.2,24.3,24.4,24.5,24.9,26,26.2,26.5,26.6,27.7,28.1,28.3,28.7,29.1,29.3,29.4,29.5,30.1,30.3,30.4,30.5,30.7,31,31.1,31.4,32,32.3,32.5,33,33.3,33.5}
@attribute 'Sinav 4' {93,99,101,113,121,136,172,198,213,223,226,233,248,253,269,271,341,354,369,376,383,384,393,419,420,451,455,459,464,483,487,519,526,564,611,624,631,697,702,706,722,774,778,784,799,822,832,888,897,898,964,981,992,997,1001,1061,1099,1188,1222,1280,1526,1562,1701,1706,1847,2021,2031,2087,2095,2160,2180,2205,2221,2264,2548,2550,2694,2712,2725,2886,3084,3133,3134,3185,3205,3238,3315,3366,3378,3441,3493,3691,3750,3775,3825,3883,3916,3944,3957,4036,4135,4452,4453,4527,4870,4903,4942,4967,5114,5577,5590,5768,5890,6319,6685,6704,6951,8004,8116,8318,8509,8880,8971,9007,9404,9472,9973,10179,10207,10276,10607,10731,10733,11158,11212,11229,11649,11724,11897,12287,12525}
@attribute 'Sinav 4 Yuzdelik Dilim' {0.7,0.8,0.9,1.5,1.6,1.7,1.9,2.1,2.2,2.3,2.5,2.6,2.7,2.8,2.9,3.1,3.2,3.3,3.4,3.5,3.6,3.7,4,4.2,4.4,4.5,4.6,4.9,5,5.2,5.3,5.5,5.6,5.7,6,6.1,6.3,6.4,6.6,6.7,7.3,7.5,7.6,7.7,8.4,8.5,8.8,9.1,9.4,9.6,9.7,10.1,10.4,11.4,11.5,11.9,12,12.8,13.7,14.5,14.7,14.8,15.4,15.7,15.8,16,16.2,16.5,16.6,16.7,17.3,18.4,18.6,18.9,19,19.7,19.8,20.4,20.5,20.7,20.9,21,21.8,22.2,22.4,22.5,24,24.9,25,26.2,26.7,27.1,27.9,28.1,29,29.1,29.3,29.5,31.1,31.5,32.3,32.5,32.8,33.4,33.7,34.2,36.8,37.1,37.5,40,41.8,42.5,43.5,44.8,45.2}
@attribute 'Sinav 3 ve Sinav 4 Toplami' {577,582,591,627,700,759,768,801,805,811,823,858,872,962,1002,1065,1081,1202,1211,1279,1320,1482,1511,1759,1767,1777,1891,1922,1938,1940,2030,2032,2078,2095,2161,2280,2333,2451,2475,2553,2710,2771,2783,2808,2884,2947,2970,3152,3365,3553,3563,3643,3692,3697,3928,3933,3934,3973,4073,4245,4320,4385,4490,4677,4857,4992,5114,5134,5346,5372,5440,5712,5852,5981,6030,6268,6434,6489,6492,6528,6681,6705,6805,6836,6851,6877,6935,6959,7104,7172,7179,7302,7324,7387,7452,7543,7561,7812,7886,7963,7978,7995,7999,8162,8167,8413,8464,8583,11540,12170,12327,12930,16270,16492,16991,17309,17807,18128,18578,19005,19290,19346,19727,20165,20489,20575,21343,21436,21905,22173,22406,22878,23327,23416,23624,24237,24406,24737,24754,25129,25310,25422,25478,26026}
@attribute 'Sinav 3 ve Sinav 4 Toplami Yuzdelik Dilim' {4.4,4.6,4.9,5.4,5.9,6.1,7.1,8.7,8.9,9,9.1,9.3,9.6,10.1,10.2,10.3,11,11.2,11.6,11.7,11.8,12.3,12.5,12.8,13.5,13.8,13.9,14,14.3,14.8,14.9,15,15.3,15.5,15.6,15.8,16.1,16.2,16.8,17.4,17.7,18,18.2,18.6,18.7,19.3,19.4,19.8,21.7,21.8,22,22.6,23.2,23.8,24,24.5,24.9,26.7,26.9,27.3,27.5,27.6,27.9,28.2,28.4,28.6,29.6,30.4,32.3,33,33.1,34.2,34.6,35.6,35.9,36.3,37.3,37.4,37.8,37.9,38.5,39,39.4,40.2,40.9,41.5,41.7,42.5,42.6,42.7,43.6,43.8,44.1,44.3,44.9,45.1,45.9,46,46.8,48.6,49.2,49.6,52.6,53.5,54.6,55,56.1,56.3,56.7,57,57.4,58.9,60,60.1,60.4,61.4,61.5,62,62.1,62.4,64.1,65.6,66.4,67.2,67.9,68,70.3,70.5,71.6,73.2}

@data
3,2013,ELL,12273,282,6307,51.4,4028,32.8,1487,12.1,451,3.7,1938,15.8
3,2014,ELL,10539,283,5289,50.2,3220,30.6,1547,14.7,483,4.6,2030,19.3
3,2015,ELL,10825,284,5578,51.5,3152,29.1,1373,12.7,722,6.7,2095,19.4
4,2013,ELL,10554,278,5697,54,3346,31.7,1157,11,354,3.4,1511,14.3
4,2014,ELL,10932,280,5722,52.3,3270,29.9,1329,12.2,611,5.6,1940,17.7
4,2015,ELL,10057,279,5240,52.1,3040,30.2,1213,12.1,564,5.6,1777,17.7
5,2013,ELL,10633,277,7317,68.8,2235,21,833,7.8,248,2.3,1081,10.2
5,2014,ELL,9259,282,5585,60.3,2354,25.4,927,10,393,4.2,1320,14.3
5,2015,ELL,9213,282,5543,60.2,2188,23.7,1062,11.5,420,4.6,1482,16.1
6,2013,ELL,8434,271,5290,62.7,2385,28.3,490,5.8,269,3.2,759,9
6,2014,ELL,9533,274,5756,60.4,2712,28.4,681,7.1,384,4,1065,11.2
6,2015,ELL,8502,274,5151,60.6,2349,27.6,626,7.4,376,4.4,1002,11.8
7,2013,ELL,8325,270,6283,75.5,1451,17.4,455,5.5,136,1.6,591,7.1
7,2014,ELL,8246,274,5803,70.4,1675,20.3,596,7.2,172,2.1,768,9.3
7,2015,ELL,8457,274,5733,67.8,1866,22.1,635,7.5,223,2.6,858,10.1
8,2013,ELL,9082,275,5620,61.9,2590,28.5,659,7.3,213,2.3,872,9.6
8,2014,ELL,8108,273,5128,63.2,2157,26.6,590,7.3,233,2.9,823,10.2
8,2015,ELL,7784,274,4962,63.7,2017,25.9,534,6.9,271,3.5,805,10.3
3,2013,EP,56148,302,16612,29.6,19371,34.5,12049,21.5,8116,14.5,20165,35.9
3,2014,EP,56165,304,15382,27.4,17367,30.9,14012,24.9,9404,16.7,23416,41.7
3,2015,EP,55145,305,15145,27.5,17122,31,12602,22.9,10276,18.6,22878,41.5
4,2013,EP,56966,303,15826,27.8,19235,33.8,12934,22.7,8971,15.7,21905,38.5
4,2014,EP,56774,307,14728,25.9,17292,30.5,12857,22.6,11897,21,24754,43.6
4,2015,EP,57466,305,15536,27,17524,30.5,12682,22.1,11724,20.4,24406,42.5
5,2013,EP,54835,303,20701,37.8,16006,29.2,11809,21.5,6319,11.5,18128,33.1
5,2014,EP,55459,311,16258,29.3,15577,28.1,13445,24.2,10179,18.4,23624,42.6
5,2015,EP,53987,312,15149,28.1,14601,27,14030,26,10207,18.9,24237,44.9
6,2013,EP,55140,301,16315,29.6,21018,38.1,9298,16.9,8509,15.4,17807,32.3
6,2014,EP,54249,305,15326,28.3,18434,34,9758,18,10731,19.8,20489,37.8
6,2015,EP,54146,306,15291,28.2,17512,32.3,10131,18.7,11212,20.7,21343,39.4
7,2013,EP,57792,300,23109,40,18413,31.9,10693,18.5,5577,9.7,16270,28.2
7,2014,EP,56240,304,19982,35.5,17680,31.4,11874,21.1,6704,11.9,18578,33
7,2015,EP,54295,307,17353,32,17215,31.7,11723,21.6,8004,14.7,19727,36.3
8,2013,EP,58077,300,19431,33.5,22154,38.1,10902,18.8,5590,9.6,16492,28.4
8,2014,EP,49442,297,17724,35.8,19391,39.2,8636,17.5,3691,7.5,12327,24.9
8,2015,EP,47197,296,17679,37.5,17978,38.1,7405,15.7,4135,8.8,11540,24.5
3,2013,Asian,11918,323,1308,11,3223,27,3637,30.5,3750,31.5,7387,62
3,2014,Asian,11625,325,1153,9.9,2660,22.9,3896,33.5,3916,33.7,7812,67.2
3,2015,Asian,11999,326,1217,10.1,2819,23.5,3510,29.3,4453,37.1,7963,66.4
4,2013,Asian,11354,325,1128,9.9,2774,24.4,3569,31.4,3883,34.2,7452,65.6
4,2014,Asian,11755,333,1008,8.6,2334,19.9,3299,28.1,5114,43.5,8413,71.6
4,2015,Asian,11622,331,1043,9,2412,20.8,3225,27.7,4942,42.5,8167,70.3
5,2013,Asian,11057,327,1685,15.2,2567,23.2,3567,32.3,3238,29.3,6805,61.5
5,2014,Asian,11324,334,1172,10.3,2174,19.2,3451,30.5,4527,40,7978,70.5
5,2015,Asian,11721,337,1153,9.8,1985,16.9,3680,31.4,4903,41.8,8583,73.2
6,2013,Asian,10776,326,1123,10.4,2972,27.6,2645,24.5,4036,37.5,6681,62
6,2014,Asian,10778,332,1004,9.3,2450,22.7,2454,22.8,4870,45.2,7324,68
6,2015,Asian,11090,332,1050,9.5,2497,22.5,2576,23.2,4967,44.8,7543,68
7,2013,Asian,11375,325,1770,15.6,3077,27.1,3444,30.3,3084,27.1,6528,57.4
7,2014,Asian,10819,329,1405,13,2479,22.9,3569,33,3366,31.1,6935,64.1
7,2015,Asian,10760,333,1196,11.1,2262,21,3345,31.1,3957,36.8,7302,67.9
8,2013,Asian,10821,327,1226,11.3,3103,28.7,3359,31,3133,29,6492,60
8,2014,Asian,8164,323,1206,14.8,2468,30.2,2459,30.1,2031,24.9,4490,55
8,2015,Asian,7768,325,1109,14.3,2414,31.1,2065,26.6,2180,28.1,4245,54.6
3,2013,Black,18131,286,8249,45.5,6517,35.9,2566,14.2,799,4.4,3365,18.6
3,2014,Black,17348,288,7566,43.6,5854,33.7,2947,17,981,5.7,3928,22.6
3,2015,Black,16365,289,6993,42.7,5439,33.2,2745,16.8,1188,7.3,3933,24
4,2013,Black,18018,286,7931,44,6524,36.2,2666,14.8,897,5,3563,19.8
4,2014,Black,17132,288,7254,42.3,5805,33.9,2793,16.3,1280,7.5,4073,23.8
4,2015,Black,16691,285,7413,44.4,5635,33.8,2544,15.2,1099,6.6,3643,21.8
5,2013,Black,18093,287,10111,55.9,5174,28.6,2282,12.6,526,2.9,2808,15.5
5,2014,Black,16778,293,7897,47.1,5184,30.9,2696,16.1,1001,6,3697,22
5,2015,Black,15738,292,7317,46.5,4868,30.9,2779,17.7,774,4.9,3553,22.6
6,2013,Black,18860,285,8629,45.8,7347,39,2052,10.9,832,4.4,2884,15.3
6,2014,Black,17522,286,7925,45.2,6445,36.8,2091,11.9,1061,6.1,3152,18
6,2015,Black,15862,285,7446,46.9,5446,34.3,1978,12.5,992,6.3,2970,18.7
7,2013,Black,19699,283,11821,60,5717,29,1820,9.2,341,1.7,2161,11
7,2014,Black,18439,287,10078,54.7,5808,31.5,2098,11.4,455,2.5,2553,13.8
7,2015,Black,17085,288,8699,50.9,5615,32.9,2147,12.6,624,3.7,2771,16.2
8,2013,Black,20003,284,10089,50.4,7463,37.3,2067,10.3,384,1.9,2451,12.3
8,2014,Black,17452,282,8988,51.5,6432,36.9,1663,9.5,369,2.1,2032,11.6
8,2015,Black,16398,282,8745,53.3,5731,34.9,1503,9.2,419,2.6,1922,11.7
3,2013,Hispanic,29706,290,11932,40.2,11285,38,4788,16.1,1701,5.7,6489,21.8
3,2014,Hispanic,30362,293,11068,36.5,10830,35.7,6259,20.6,2205,7.3,8464,27.9
3,2015,Hispanic,29927,293,11511,38.5,10417,34.8,5451,18.2,2548,8.5,7999,26.7
4,2013,Hispanic,29055,290,11127,38.3,10969,37.8,5112,17.6,1847,6.4,6959,24
4,2014,Hispanic,28978,293,10797,37.3,10186,35.2,5283,18.2,2712,9.4,7995,27.6
4,2015,Hispanic,29846,292,11105,37.2,10579,35.4,5437,18.2,2725,9.1,8162,27.3
5,2013,Hispanic,28227,289,14693,52.1,8400,29.8,4170,14.8,964,3.4,5134,18.2
5,2014,Hispanic,28104,297,11628,41.4,8915,31.7,5401,19.2,2160,7.7,7561,26.9
5,2015,Hispanic,27585,297,11192,40.6,8507,30.8,5865,21.3,2021,7.3,7886,28.6
6,2013,Hispanic,27980,288,11380,40.7,11743,42,3331,11.9,1526,5.5,4857,17.4
6,2014,Hispanic,27559,289,11236,40.8,10342,37.5,3894,14.1,2087,7.6,5981,21.7
6,2015,Hispanic,26980,290,10890,40.4,9822,36.4,4004,14.8,2264,8.4,6268,23.2
7,2013,Hispanic,28062,287,15121,53.9,9007,32.1,3303,11.8,631,2.2,3934,14
7,2014,Hispanic,27725,291,13454,48.5,9279,33.5,4094,14.8,898,3.2,4992,18
7,2015,Hispanic,27192,292,12366,45.5,9454,34.8,4150,15.3,1222,4.5,5372,19.8
8,2013,Hispanic,28061,288,12495,44.5,11181,39.8,3563,12.7,822,2.9,4385,15.6
8,2014,Hispanic,25668,287,11597,45.2,10098,39.3,3267,12.7,706,2.8,3973,15.5
8,2015,Hispanic,24718,287,11507,46.6,9519,38.5,2794,11.3,898,3.6,3692,14.9
3,2013,White,12034,316,1850,15.4,3750,31.2,3548,29.5,2886,24,6434,53.5
3,2014,White,11883,319,1688,14.2,3023,25.4,3857,32.5,3315,27.9,7172,60.4
3,2015,White,11677,319,1641,14.1,3159,27.1,3436,29.4,3441,29.5,6877,58.9
4,2013,White,11754,318,1689,14.4,3360,28.6,3571,30.4,3134,26.7,6705,57
4,2014,White,11694,322,1542,13.2,2973,25.4,3404,29.1,3775,32.3,7179,61.4
4,2015,White,11438,322,1518,13.3,2816,24.6,3279,28.7,3825,33.4,7104,62.1
5,2013,White,11049,316,2434,22,3175,28.7,3345,30.3,2095,19,5440,49.2
5,2014,White,11394,324,1806,15.9,2737,24,3646,32,3205,28.1,6851,60.1
5,2015,White,10954,326,1580,14.4,2538,23.2,3651,33.3,3185,29.1,6836,62.4
6,2013,White,10302,316,1599,15.5,3589,34.8,2420,23.5,2694,26.2,5114,49.6
6,2014,White,10390,320,1442,13.9,3096,29.8,2474,23.8,3378,32.5,5852,56.3
6,2015,White,10634,321,1557,14.6,3047,28.7,2537,23.9,3493,32.8,6030,56.7
7,2013,White,10359,315,2338,22.6,3344,32.3,2971,28.7,1706,16.5,4677,45.1
7,2014,White,10166,320,1904,18.7,2916,28.7,3125,30.7,2221,21.8,5346,52.6
7,2015,White,10187,323,1639,16.1,2836,27.8,3162,31,2550,25,5712,56.1
8,2013,White,9751,315,1634,16.8,3797,38.9,2758,28.3,1562,16,4320,44.3
8,2014,White,7772,310,1584,20.4,3241,41.7,2059,26.5,888,11.4,2947,37.9
8,2015,White,7272,309,1691,23.3,2871,39.5,1713,23.6,997,13.7,2710,37.3
3,2013,Notswd,59876,304,16120,26.9,21350,35.7,13526,22.6,8880,14.8,22406,37.4
3,2014,Notswd,57748,307,13854,24,18584,32.2,15337,26.6,9973,17.3,25310,43.8
3,2015,Notswd,56928,308,13456,23.6,18343,32.2,13900,24.4,11229,19.7,25129,44.1
